ProductId,CustomerId,Timestamp,Action
63,14,2024-02-03 02:57:03,search
32,47,2024-01-25 10:56:15,addtocart
33,29,2024-02-08 23:16:43,addtocart
18,12,2024-02-04 05:48:27,addtocart
25,36,2024-01-17 05:08:46,search
54,35,2024-01-15 14:25:07,search
58,12,2024-02-03 17:11:23,purchase
46,7,2024-01-01 13:36:40,addtocart
24,29,2024-01-15 17:30:28,search
32,11,2024-01-25 12:30:51,purchase
47,33,2024-01-08 22:15:41,addtocart
23,6,2024-02-07 15:41:07,search
66,47,2024-02-06 01:10:28,addtocart
27,15,2024-01-31 13:31:17,addtocart
2,32,2024-01-09 03:24:53,addtocart
17,11,2024-01-12 05:52:57,search
33,23,2024-01-08 10:02:37,search
9,26,2024-01-04 18:45:47,purchase
43,34,2024-01-18 18:45:03,search
48,46,2024-01-04 08:44:39,search
39,34,2024-01-17 05:00:01,search
42,29,2024-01-24 11:54:40,search
26,4,2024-01-16 02:50:28,addtocart
50,17,2024-01-24 21:59:07,purchase
25,35,2024-01-27 10:22:47,search
24,13,2024-01-23 04:33:46,search
13,41,2024-01-27 07:48:50,search
60,39,2024-01-23 17:31:36,addtocart
7,15,2024-01-28 20:32:47,addtocart
57,29,2024-01-02 22:20:17,search
36,29,2024-01-29 07:38:13,addtocart
45,11,2024-01-12 10:03:13,addtocart
20,32,2024-01-12 08:53:39,addtocart
65,2,2024-01-25 01:58:08,purchase
8,47,2024-01-03 06:19:21,search
16,14,2024-02-02 23:24:24,addtocart
14,20,2024-01-31 08:37:23,search
15,22,2024-01-12 10:19:08,addtocart
66,11,2024-01-09 17:42:53,addtocart
32,27,2024-01-14 08:54:05,addtocart
63,3,2024-01-22 18:19:58,addtocart
51,17,2024-01-22 21:47:40,search
25,44,2024-01-09 02:19:46,search
58,28,2024-02-01 15:34:59,purchase
63,29,2024-01-31 17:05:54,purchase
62,21,2024-01-22 18:25:40,search
22,47,2024-02-03 07:26:14,search
58,16,2024-01-23 09:06:45,search
58,37,2024-01-05 22:05:37,addtocart
49,20,2024-01-28 06:00:02,addtocart
52,6,2024-01-05 20:02:10,search
42,19,2024-02-03 00:12:06,search
15,5,2024-01-07 07:13:00,addtocart
54,3,2024-01-21 08:29:02,addtocart
60,1,2024-01-18 07:14:13,search
8,38,2024-01-14 14:08:02,search
53,15,2024-01-15 02:03:07,search
60,34,2024-01-03 23:42:56,search
5,35,2024-01-07 22:55:24,search
6,49,2024-01-07 01:20:59,addtocart
47,25,2024-02-03 05:21:20,addtocart
55,24,2024-01-05 16:10:56,addtocart
40,12,2024-02-03 09:12:37,addtocart
52,18,2024-01-24 14:34:20,search
16,15,2024-01-11 11:52:43,search
13,44,2024-01-27 08:45:49,search
30,16,2024-01-16 16:07:53,search
19,27,2024-01-03 19:34:38,addtocart
17,8,2024-01-20 19:11:09,purchase
63,46,2024-01-05 17:38:54,search
19,25,2024-01-17 22:00:23,search
58,17,2024-01-11 22:03:47,addtocart
55,29,2024-01-04 21:33:52,search
62,8,2024-01-29 05:07:23,search
23,15,2024-01-01 10:20:05,addtocart
9,27,2024-01-05 00:30:58,addtocart
12,46,2024-01-30 14:19:57,search
1,50,2024-02-05 14:12:42,search
