Id,ProductId,CompetitorName,Timestamp,Price
1,42,Walmart,2024-01-17 20:27:07,520
2,43,Walmart,2024-01-24 23:45:28,531
3,42,Flipkart,2024-02-07 22:48:39,450
4,66,Walmart,2024-01-09 16:50:32,231
5,55,Walmart,2024-02-05 22:38:03,168
6,48,Flipkart,2024-02-05 17:32:48,76
7,22,Amazon,2024-01-19 18:31:00,188
8,27,Amazon,2024-01-11 14:58:11,213
9,13,Flipkart,2024-01-01 09:05:28,792
10,45,Walmart,2024-02-04 23:03:22,510
11,10,Flipkart,2024-01-24 11:43:52,816
12,9,Amazon,2024-02-02 17:15:04,655
13,54,Amazon,2024-01-16 07:28:16,209
14,27,Flipkart,2024-01-04 17:50:42,165
15,34,Flipkart,2024-01-17 16:22:02,963
16,1,Amazon,2024-01-09 17:25:02,1120
17,32,Flipkart,2024-01-26 04:18:38,149
18,20,Amazon,2024-02-01 17:39:49,948
19,35,Flipkart,2024-01-25 23:27:02,411
20,17,Flipkart,2024-02-05 07:42:12,664
21,18,Flipkart,2024-01-19 08:16:26,281
22,45,Amazon,2024-02-01 05:47:18,769
23,53,Flipkart,2024-01-07 09:06:20,119
24,65,Amazon,2024-01-22 07:25:36,75
25,1,Amazon,2024-02-08 12:28:42,1061
26,58,Flipkart,2024-01-13 09:47:04,116
27,26,Flipkart,2024-01-29 18:24:27,1183
28,20,Amazon,2024-01-09 10:36:41,910
29,10,Amazon,2024-02-02 19:57:30,997
30,59,Walmart,2024-01-29 06:37:01,163
31,41,Amazon,2024-01-25 12:52:25,639
32,5,Walmart,2024-01-12 08:08:38,802
33,65,Walmart,2024-01-22 18:24:49,93
34,17,Walmart,2024-01-08 03:01:40,630
35,22,Flipkart,2024-01-27 10:41:26,152
36,41,Flipkart,2024-01-05 06:15:07,660
37,11,Amazon,2024-01-21 02:36:23,261
38,56,Walmart,2024-01-06 05:11:56,27
39,51,Flipkart,2024-01-16 20:44:25,89
40,21,Flipkart,2024-01-07 09:06:42,260
41,26,Flipkart,2024-01-23 19:48:05,820
42,19,Flipkart,2024-01-08 19:17:51,860
43,60,Flipkart,2024-02-05 10:21:52,250
44,47,Walmart,2024-01-06 21:14:38,319
45,26,Walmart,2024-01-22 05:03:40,1133
46,40,Walmart,2024-01-04 05:31:22,424
47,5,Walmart,2024-01-03 02:54:09,1055
